name,weighted_score,available,dns_status,growth_link,category
peaknect,5.0,True,likely_available,True,growth_connection
primelynk,5.0,True,likely_available,True,growth_connection
primenect,5.0,True,likely_available,True,growth_connection
pulsenect,5.0,True,likely_available,True,growth_connection
pushnect,5.0,True,likely_available,True,growth_connection
rallylynk,5.0,True,likely_available,True,growth_connection
rallymesh,5.0,True,likely_available,True,growth_connection
rallynect,5.0,True,likely_available,True,growth_connection
rapidnect,5.0,True,likely_available,True,growth_connection
risenect,5.0,True,likely_available,True,growth_connection
rootnect,5.0,True,likely_available,True,growth_connection
scalelynk,5.0,True,likely_available,True,growth_connection
scenelynk,5.0,True,likely_available,True,audience_connection
shinelynk,5.0,True,likely_available,True,growth_connection
shinenect,5.0,True,likely_available,True,growth_connection
signallynk,5.0,True,likely_available,True,blend
soarlynk,5.0,True,likely_available,True,growth_connection
soarnect,5.0,True,likely_available,True,growth_connection
sparklynk,5.0,True,likely_available,True,growth_connection
surgelynk,5.0,True,likely_available,True,growth_connection
surgenect,5.0,True,likely_available,True,growth_connection
swiftnect,5.0,True,likely_available,True,growth_connection
thrivelynk,5.0,True,likely_available,True,growth_connection
thrivenect,5.0,True,likely_available,True,growth_connection
truenect,5.0,True,likely_available,True,growth_connection
unitylynk,5.0,True,likely_available,True,blend
venuelynk,5.0,True,likely_available,True,audience_connection
vividlynk,5.0,True,likely_available,True,growth_connection
vividnect,5.0,True,likely_available,True,growth_connection
lynkecho,4.95,True,likely_available,True,blend
lynkfan,4.95,True,likely_available,True,blend
lynkfirst,4.95,True,likely_available,True,blend
lynkgig,4.95,True,likely_available,True,blend
lynkgrow,4.95,True,likely_available,True,blend
lynkhome,4.95,True,likely_available,True,blend
lynkown,4.95,True,likely_available,True,blend
lynkshow,4.95,True,likely_available,True,blend
lynkunity,4.95,True,likely_available,True,blend
lynkvenue,4.95,True,likely_available,True,blend
anchordock,4.945,True,likely_available,True,growth_connection
anchorjoin,4.945,True,likely_available,True,growth_connection
anchorline,4.945,True,likely_available,True,growth_connection
apexgather,4.945,True,likely_available,True,growth_connection
apexknit,4.945,True,likely_available,True,growth_connection
apextie,4.945,True,likely_available,True,growth_connection
beaconjoin,4.945,True,likely_available,True,growth_connection
beaconknit,4.945,True,likely_available,True,growth_connection
beaconsync,4.945,True,likely_available,True,growth_connection
beacontie,4.945,True,likely_available,True,growth_connection
beaconweb,4.945,True,likely_available,True,growth_connection
boldgather,4.945,True,likely_available,True,growth_connection
boldjoin,4.945,True,likely_available,True,growth_connection
boldknit,4.945,True,likely_available,True,growth_connection
boldwave,4.945,True,likely_available,True,growth_connection
boostjoin,4.945,True,likely_available,True,growth_connection
boostknit,4.945,True,likely_available,True,growth_connection
boostweave,4.945,True,likely_available,True,growth_connection
bravedock,4.945,True,likely_available,True,growth_connection
bravefuse,4.945,True,likely_available,True,growth_connection
bravemeet,4.945,True,likely_available,True,growth_connection
braverelay,4.945,True,likely_available,True,growth_connection
bravetie,4.945,True,likely_available,True,growth_connection
braveweave,4.945,True,likely_available,True,growth_connection
brightbase,4.945,True,likely_available,True,growth_connection
brightjoin,4.945,True,likely_available,True,growth_connection
brightknit,4.945,True,likely_available,True,growth_connection
brightnode,4.945,True,likely_available,True,growth_connection
buildblend,4.945,True,likely_available,True,growth_connection
buildgrid,4.945,True,likely_available,True,growth_connection
buildjoin,4.945,True,likely_available,True,growth_connection
buildknit,4.945,True,likely_available,True,growth_connection
buildpath,4.945,True,likely_available,True,growth_connection
buildsync,4.945,True,likely_available,True,growth_connection
buildtie,4.945,True,likely_available,True,growth_connection
catalybond,4.945,True,likely_available,True,growth_connection
catalydock,4.945,True,likely_available,True,growth_connection
catalyecho,4.945,True,likely_available,True,growth_connection
catalyflow,4.945,True,likely_available,True,growth_connection
catalygrid,4.945,True,likely_available,True,growth_connection
catalyhub,4.945,True,likely_available,True,growth_connection
catalyjoin,4.945,True,likely_available,True,growth_connection
catalyknit,4.945,True,likely_available,True,growth_connection
catalyloop,4.945,True,likely_available,True,growth_connection
catalymeet,4.945,True,likely_available,True,growth_connection
catalynest,4.945,True,likely_available,True,growth_connection
catalynet,4.945,True,likely_available,True,growth_connection
catalypath,4.945,True,likely_available,True,growth_connection
catalyport,4.945,True,likely_available,True,growth_connection
catalyring,4.945,True,likely_available,True,growth_connection
catalyspot,4.945,True,likely_available,True,growth_connection
catalysync,4.945,True,likely_available,True,growth_connection
catalytie,4.945,True,likely_available,True,growth_connection
clearbase,4.945,True,likely_available,True,growth_connection
cleartrail,4.945,True,likely_available,True,growth_connection
crowdlink,4.945,True,likely_available,True,audience_connection
dashgather,4.945,True,likely_available,True,growth_connection
dashknit,4.945,True,likely_available,True,growth_connection
dashunion,4.945,True,likely_available,True,growth_connection
drivejoin,4.945,True,likely_available,True,growth_connection
driveknit,4.945,True,likely_available,True,growth_connection
drivelink,4.945,True,likely_available,True,growth_connection
drivemerge,4.945,True,likely_available,True,growth_connection
drivenet,4.945,True,likely_available,True,growth_connection
drivetie,4.945,True,likely_available,True,growth_connection
driveweave,4.945,True,likely_available,True,growth_connection
elevalign,4.945,True,likely_available,True,growth_connection
elevbase,4.945,True,likely_available,True,growth_connection
elevblend,4.945,True,likely_available,True,growth_connection
elevbond,4.945,True,likely_available,True,growth_connection
elevbridge,4.945,True,likely_available,True,growth_connection
elevchain,4.945,True,likely_available,True,growth_connection
elevcircle,4.945,True,likely_available,True,growth_connection
elevdock,4.945,True,likely_available,True,growth_connection
elevecho,4.945,True,likely_available,True,growth_connection
elevfuse,4.945,True,likely_available,True,growth_connection
elevgather,4.945,True,likely_available,True,growth_connection
elevjoin,4.945,True,likely_available,True,growth_connection
elevknit,4.945,True,likely_available,True,growth_connection
elevlane,4.945,True,likely_available,True,growth_connection
elevline,4.945,True,likely_available,True,growth_connection
elevlink,4.945,True,likely_available,True,growth_connection
elevloop,4.945,True,likely_available,True,growth_connection
elevmeet,4.945,True,likely_available,True,growth_connection
elevmerge,4.945,True,likely_available,True,growth_connection
elevnode,4.945,True,likely_available,True,growth_connection
elevport,4.945,True,likely_available,True,growth_connection
elevrelay,4.945,True,likely_available,True,growth_connection
elevring,4.945,True,likely_available,True,growth_connection
elevroute,4.945,True,likely_available,True,growth_connection
elevsignal,4.945,True,likely_available,True,growth_connection
elevspot,4.945,True,likely_available,True,growth_connection
elevsync,4.945,True,likely_available,True,growth_connection
elevtie,4.945,True,likely_available,True,growth_connection
elevtrail,4.945,True,likely_available,True,growth_connection
elevunion,4.945,True,likely_available,True,growth_connection
elevwave,4.945,True,likely_available,True,growth_connection
elevweave,4.945,True,likely_available,True,growth_connection
elevwire,4.945,True,likely_available,True,growth_connection
flamealign,4.945,True,likely_available,True,growth_connection
flameblend,4.945,True,likely_available,True,growth_connection
flamegrid,4.945,True,likely_available,True,growth_connection
flamejoin,4.945,True,likely_available,True,growth_connection
flameknit,4.945,True,likely_available,True,growth_connection
flamemeet,4.945,True,likely_available,True,growth_connection
flametie,4.945,True,likely_available,True,growth_connection
flameunion,4.945,True,likely_available,True,growth_connection
flouralign,4.945,True,likely_available,True,growth_connection
flourblend,4.945,True,likely_available,True,growth_connection
flourchain,4.945,True,likely_available,True,growth_connection
flourcore,4.945,True,likely_available,True,growth_connection
flourdock,4.945,True,likely_available,True,growth_connection
flourecho,4.945,True,likely_available,True,growth_connection
flourfuse,4.945,True,likely_available,True,growth_connection
flourgrid,4.945,True,likely_available,True,growth_connection
flourjoin,4.945,True,likely_available,True,growth_connection
flourknit,4.945,True,likely_available,True,growth_connection
flourlink,4.945,True,likely_available,True,growth_connection
flourloop,4.945,True,likely_available,True,growth_connection
flourmeet,4.945,True,likely_available,True,growth_connection
flourmerge,4.945,True,likely_available,True,growth_connection
flournet,4.945,True,likely_available,True,growth_connection
flournode,4.945,True,likely_available,True,growth_connection
flourpath,4.945,True,likely_available,True,growth_connection
flourport,4.945,True,likely_available,True,growth_connection
flourspot,4.945,True,likely_available,True,growth_connection
floursync,4.945,True,likely_available,True,growth_connection
flourtie,4.945,True,likely_available,True,growth_connection
flourtrail,4.945,True,likely_available,True,growth_connection
flourwave,4.945,True,likely_available,True,growth_connection
flourweave,4.945,True,likely_available,True,growth_connection
flourweb,4.945,True,likely_available,True,growth_connection
flourwire,4.945,True,likely_available,True,growth_connection
forgealign,4.945,True,likely_available,True,growth_connection
forgejoin,4.945,True,likely_available,True,growth_connection
forgeknit,4.945,True,likely_available,True,growth_connection
forgeport,4.945,True,likely_available,True,growth_connection
forgetie,4.945,True,likely_available,True,growth_connection
freelane,4.945,True,likely_available,True,growth_connection
freeline,4.945,True,likely_available,True,growth_connection
freshlane,4.945,True,likely_available,True,growth_connection
freshmeet,4.945,True,likely_available,True,growth_connection
freshpath,4.945,True,likely_available,True,growth_connection
freshwave,4.945,True,likely_available,True,growth_connection
fuelalign,4.945,True,likely_available,True,growth_connection
fuelgather,4.945,True,likely_available,True,growth_connection
fueljoin,4.945,True,likely_available,True,growth_connection
fuelknit,4.945,True,likely_available,True,growth_connection
fuelmerge,4.945,True,likely_available,True,growth_connection
fueltie,4.945,True,likely_available,True,growth_connection
fuelweb,4.945,True,likely_available,True,growth_connection
growchain,4.945,True,likely_available,True,growth_connection
growknit,4.945,True,likely_available,True,growth_connection
growlane,4.945,True,likely_available,True,growth_connection
growrelay,4.945,True,likely_available,True,growth_connection
harborfuse,4.945,True,likely_available,True,growth_connection
harborjoin,4.945,True,likely_available,True,growth_connection
harborknit,4.945,True,likely_available,True,growth_connection
harbormeet,4.945,True,likely_available,True,growth_connection
harbortie,4.945,True,likely_available,True,growth_connection
igniteecho,4.945,True,likely_available,True,growth_connection
ignitejoin,4.945,True,likely_available,True,growth_connection
igniteknit,4.945,True,likely_available,True,growth_connection
ignitemeet,4.945,True,likely_available,True,growth_connection
ignitering,4.945,True,likely_available,True,growth_connection
ignitetie,4.945,True,likely_available,True,growth_connection
launchjoin,4.945,True,likely_available,True,growth_connection
launchknit,4.945,True,likely_available,True,growth_connection
launchsync,4.945,True,likely_available,True,growth_connection
launchtie,4.945,True,likely_available,True,growth_connection
liftblend,4.945,True,likely_available,True,growth_connection
liftgather,4.945,True,likely_available,True,growth_connection
liftjoin,4.945,True,likely_available,True,growth_connection
liftknit,4.945,True,likely_available,True,growth_connection
liftlane,4.945,True,likely_available,True,growth_connection
liftmerge,4.945,True,likely_available,True,growth_connection
liftnode,4.945,True,likely_available,True,growth_connection
liftweave,4.945,True,likely_available,True,growth_connection
nestjoin,4.945,True,likely_available,True,growth_connection
nestring,4.945,True,likely_available,True,growth_connection
novaunion,4.945,True,likely_available,True,growth_connection
novawave,4.945,True,likely_available,True,growth_connection
orbitjoin,4.945,True,likely_available,True,growth_connection
orbitknit,4.945,True,likely_available,True,growth_connection
orbitmerge,4.945,True,likely_available,True,growth_connection
peakflow,4.945,True,likely_available,True,growth_connection
peaktie,4.945,True,likely_available,True,growth_connection
peaktrail,4.945,True,likely_available,True,growth_connection
peakwave,4.945,True,likely_available,True,growth_connection
primemeet,4.945,True,likely_available,True,growth_connection
primewave,4.945,True,likely_available,True,growth_connection
pulseknit,4.945,True,likely_available,True,growth_connection
pulseline,4.945,True,likely_available,True,growth_connection
pulsetie,4.945,True,likely_available,True,growth_connection
pulsetrail,4.945,True,likely_available,True,growth_connection
pulsewire,4.945,True,likely_available,True,growth_connection
purerelay,4.945,True,likely_available,True,growth_connection
pushalign,4.945,True,likely_available,True,growth_connection
pushbase,4.945,True,likely_available,True,growth_connection
pushbond,4.945,True,likely_available,True,growth_connection
pushgather,4.945,True,likely_available,True,growth_connection
pushjoin,4.945,True,likely_available,True,growth_connection
pushnest,4.945,True,likely_available,True,growth_connection
pushtie,4.945,True,likely_available,True,growth_connection
pushweave,4.945,True,likely_available,True,growth_connection
rapidbase,4.945,True,likely_available,True,growth_connection
rapidecho,4.945,True,likely_available,True,growth_connection
rapidtie,4.945,True,likely_available,True,growth_connection
rapidwave,4.945,True,likely_available,True,growth_connection
rapidweb,4.945,True,likely_available,True,growth_connection
riseflow,4.945,True,likely_available,True,growth_connection
risegather,4.945,True,likely_available,True,growth_connection
risetie,4.945,True,likely_available,True,growth_connection
rootalign,4.945,True,likely_available,True,growth_connection
rootgather,4.945,True,likely_available,True,growth_connection
rootjoin,4.945,True,likely_available,True,growth_connection
rootknit,4.945,True,likely_available,True,growth_connection
rootlink,4.945,True,likely_available,True,growth_connection
rootring,4.945,True,likely_available,True,growth_connection
rootweave,4.945,True,likely_available,True,growth_connection
scaletie,4.945,True,likely_available,True,growth_connection
seedalign,4.945,True,likely_available,True,growth_connection
seedjoin,4.945,True,likely_available,True,growth_connection
seedknit,4.945,True,likely_available,True,growth_connection
seedlink,4.945,True,likely_available,True,growth_connection
seedmerge,4.945,True,likely_available,True,growth_connection
seedtie,4.945,True,likely_available,True,growth_connection
shinebond,4.945,True,likely_available,True,growth_connection
shineknit,4.945,True,likely_available,True,growth_connection
shinerelay,4.945,True,likely_available,True,growth_connection
soaralign,4.945,True,likely_available,True,growth_connection
soarblend,4.945,True,likely_available,True,growth_connection
soarbond,4.945,True,likely_available,True,growth_connection
soarecho,4.945,True,likely_available,True,growth_connection
soarfuse,4.945,True,likely_available,True,growth_connection
soargather,4.945,True,likely_available,True,growth_connection
soargrid,4.945,True,likely_available,True,growth_connection
soarjoin,4.945,True,likely_available,True,growth_connection
soarknit,4.945,True,likely_available,True,growth_connection
soarmeet,4.945,True,likely_available,True,growth_connection
soarmerge,4.945,True,likely_available,True,growth_connection
soarnode,4.945,True,likely_available,True,growth_connection
soartie,4.945,True,likely_available,True,growth_connection
soartrail,4.945,True,likely_available,True,growth_connection
soarweave,4.945,True,likely_available,True,growth_connection
sparknest,4.945,True,likely_available,True,growth_connection
sparkweb,4.945,True,likely_available,True,growth_connection
surgeblend,4.945,True,likely_available,True,growth_connection
surgejoin,4.945,True,likely_available,True,growth_connection
surgeknit,4.945,True,likely_available,True,growth_connection
surgemeet,4.945,True,likely_available,True,growth_connection
surgerelay,4.945,True,likely_available,True,growth_connection
surgering,4.945,True,likely_available,True,growth_connection
surgetie,4.945,True,likely_available,True,growth_connection
surgeunion,4.945,True,likely_available,True,growth_connection
surgeweave,4.945,True,likely_available,True,growth_connection
swiftspot,4.945,True,likely_available,True,growth_connection
thrivehub,4.945,True,likely_available,True,growth_connection
thrivejoin,4.945,True,likely_available,True,growth_connection
thriveknit,4.945,True,likely_available,True,growth_connection
thrivetie,4.945,True,likely_available,True,growth_connection
truechain,4.945,True,likely_available,True,growth_connection
truecore,4.945,True,likely_available,True,growth_connection
truesignal,4.945,True,likely_available,True,growth_connection
trueunion,4.945,True,likely_available,True,growth_connection
vividalign,4.945,True,likely_available,True,growth_connection
vividbond,4.945,True,likely_available,True,growth_connection
vividjoin,4.945,True,likely_available,True,growth_connection
vividmeet,4.945,True,likely_available,True,growth_connection
catalylynk,4.917,True,likely_available,True,growth_connection
boosttie,4.895,True,likely_available,True,growth_connection
clearrelay,4.895,True,likely_available,True,growth_connection
flourrelay,4.895,True,likely_available,True,growth_connection
flourring,4.895,True,likely_available,True,growth_connection
flourroute,4.895,True,likely_available,True,growth_connection
lifttie,4.895,True,likely_available,True,growth_connection
nesttie,4.895,True,likely_available,True,growth_connection
peakknit,4.895,True,likely_available,True,growth_connection
rallyalign,4.895,True,likely_available,True,growth_connection
rallyblend,4.895,True,likely_available,True,growth_connection
rallybond,4.895,True,likely_available,True,growth_connection
rallyecho,4.895,True,likely_available,True,growth_connection
rallyfuse,4.895,True,likely_available,True,growth_connection
rallyhub,4.895,True,likely_available,True,growth_connection
rallyknit,4.895,True,likely_available,True,growth_connection
rallymerge,4.895,True,likely_available,True,growth_connection
rallyrelay,4.895,True,likely_available,True,growth_connection
rallyring,4.895,True,likely_available,True,growth_connection
rallytie,4.895,True,likely_available,True,growth_connection
rallyweave,4.895,True,likely_available,True,growth_connection
roottie,4.895,True,likely_available,True,growth_connection
soarrelay,4.895,True,likely_available,True,growth_connection
soarroute,4.895,True,likely_available,True,growth_connection
sparkknit,4.895,True,likely_available,True,growth_connection
vividdock,4.895,True,likely_available,True,growth_connection
anchorlink,4.89,True,likely_available,True,growth_connection
artistlink,4.89,True,likely_available,True,audience_connection
catalylink,4.89,True,likely_available,True,growth_connection
ignitelink,4.89,True,likely_available,True,growth_connection
fanmesh,4.875,True,likely_available,False,audience_connection
supportlynk,4.873,True,likely_available,True,audience_connection
anchorblend,4.862,True,likely_available,True,growth_connection
anchorgather,4.862,True,likely_available,True,growth_connection
anchormerge,4.862,True,likely_available,True,growth_connection
beaconalign,4.862,True,likely_available,True,growth_connection
beacongather,4.862,True,likely_available,True,growth_connection
beaconmerge,4.862,True,likely_available,True,growth_connection
beaconrelay,4.862,True,likely_available,True,growth_connection
beaconweave,4.862,True,likely_available,True,growth_connection
bloomcircle,4.862,True,likely_available,True,growth_connection
bravegather,4.862,True,likely_available,True,growth_connection
brightunion,4.862,True,likely_available,True,growth_connection
catalyalign,4.862,True,likely_available,True,growth_connection
catalyblend,4.862,True,likely_available,True,growth_connection
catalychain,4.862,True,likely_available,True,growth_connection
catalytrail,4.862,True,likely_available,True,growth_connection
catalyunion,4.862,True,likely_available,True,growth_connection
flamegather,4.862,True,likely_available,True,growth_connection
flourbridge,4.862,True,likely_available,True,growth_connection
flourgather,4.862,True,likely_available,True,growth_connection
floursignal,4.862,True,likely_available,True,growth_connection
forgegather,4.862,True,likely_available,True,growth_connection
forgesignal,4.862,True,likely_available,True,growth_connection
harborblend,4.862,True,likely_available,True,growth_connection
harbormerge,4.862,True,likely_available,True,growth_connection
igniteblend,4.862,True,likely_available,True,growth_connection
igniteunion,4.862,True,likely_available,True,growth_connection
launchcircle,4.862,True,likely_available,True,growth_connection
launchmerge,4.862,True,likely_available,True,growth_connection
lynkartist,4.862,True,likely_available,True,blend
lynkorigin,4.862,True,likely_available,True,blend
orbitgather,4.862,True,likely_available,True,growth_connection
primebridge,4.862,True,likely_available,True,growth_connection
rapidgather,4.862,True,likely_available,True,growth_connection
shinegather,4.862,True,likely_available,True,growth_connection
surgegather,4.862,True,likely_available,True,growth_connection
thriverelay,4.862,True,likely_available,True,growth_connection
vividcircle,4.862,True,likely_available,True,growth_connection
vividgather,4.862,True,likely_available,True,growth_connection
creatnect,4.83,True,likely_available,False,blend
stagenect,4.83,True,likely_available,False,audience_connection
rallygather,4.812,True,likely_available,True,growth_connection
lynkcreator,4.78,True,likely_available,True,blend
catalybase,4.697,True,likely_available,True,growth_connection
catalycore,4.697,True,likely_available,True,growth_connection
catalyfuse,4.697,True,likely_available,True,growth_connection
catalylane,4.697,True,likely_available,True,growth_connection
catalyline,4.697,True,likely_available,True,growth_connection
catalynode,4.697,True,likely_available,True,growth_connection
catalywave,4.697,True,likely_available,True,growth_connection
catalywire,4.697,True,likely_available,True,growth_connection
collectlynk,4.675,True,likely_available,True,audience_connection
indienect,4.65,True,likely_available,False,audience_connection
scenenect,4.65,True,likely_available,False,audience_connection
tribenect,4.65,True,likely_available,False,audience_connection
venuenect,4.65,True,likely_available,False,audience_connection
audiolynk,4.62,True,likely_available,True,blend
catalybridge,4.615,True,likely_available,True,growth_connection
catalycircle,4.615,True,likely_available,True,growth_connection
catalygather,4.615,True,likely_available,True,growth_connection
catalymerge,4.615,True,likely_available,True,growth_connection
catalyrelay,4.615,True,likely_available,True,growth_connection
catalyroute,4.615,True,likely_available,True,growth_connection
catalysignal,4.615,True,likely_available,True,growth_connection
catalyweave,4.615,True,likely_available,True,growth_connection
ignitegather,4.615,True,likely_available,True,growth_connection
ignitemerge,4.615,True,likely_available,True,growth_connection
igniterelay,4.615,True,likely_available,True,growth_connection
igniteweave,4.615,True,likely_available,True,growth_connection
ownnect,4.605,True,likely_available,False,audience_connection
artistnect,4.57,True,likely_available,False,audience_connection
directnect,4.57,True,likely_available,False,audience_connection
artnecta,4.53,True,likely_available,False,blend
stagnecta,4.53,True,likely_available,False,blend
musiclynk,4.51,True,likely_available,True,blend
artistbase,4.495,True,likely_available,False,audience_connection
artistelev,4.495,True,likely_available,False,audience_growth
artistfuse,4.495,True,likely_available,False,audience_connection
artistknit,4.495,True,likely_available,False,audience_connection
artistopen,4.495,True,likely_available,False,audience_growth
artistsoar,4.495,True,likely_available,False,audience_growth
collectmesh,4.495,True,likely_available,False,audience_connection
creatornect,4.495,True,likely_available,False,audience_connection
creatortie,4.495,True,likely_available,False,audience_connection
crowdbrave,4.495,True,likely_available,False,audience_growth
crowdelev,4.495,True,likely_available,False,audience_growth
crowdflour,4.495,True,likely_available,False,audience_growth
crowdknit,4.495,True,likely_available,False,audience_connection
crowdmeet,4.495,True,likely_available,False,audience_connection
crowdrapid,4.495,True,likely_available,False,audience_growth
crowdvivid,4.495,True,likely_available,False,audience_growth
directelev,4.495,True,likely_available,False,audience_growth
directknit,4.495,True,likely_available,False,audience_connection
directsoar,4.495,True,likely_available,False,audience_growth
fanbrave,4.495,True,likely_available,False,audience_growth
fancataly,4.495,True,likely_available,False,audience_growth
fanclear,4.495,True,likely_available,False,audience_growth
fanelev,4.495,True,likely_available,False,audience_growth
fanflour,4.495,True,likely_available,False,audience_growth
fanknit,4.495,True,likely_available,False,audience_connection
fanmeet,4.495,True,likely_available,False,audience_connection
fanpath,4.495,True,likely_available,False,audience_connection
fanrapid,4.495,True,likely_available,False,audience_growth
fanring,4.495,True,likely_available,False,audience_connection
fanscale,4.495,True,likely_available,False,audience_growth
fansurge,4.495,True,likely_available,False,audience_growth
fanvivid,4.495,True,likely_available,False,audience_growth
gigbrave,4.495,True,likely_available,False,audience_growth
gigbuild,4.495,True,likely_available,False,audience_growth
gigcataly,4.495,True,likely_available,False,audience_growth
gigflame,4.495,True,likely_available,False,audience_growth
gigflour,4.495,True,likely_available,False,audience_growth
gigfuel,4.495,True,likely_available,False,audience_growth
gigignite,4.495,True,likely_available,False,audience_growth
gigknit,4.495,True,likely_available,False,audience_connection
gigopen,4.495,True,likely_available,False,audience_growth
gigpure,4.495,True,likely_available,False,audience_growth
gigrapid,4.495,True,likely_available,False,audience_growth
gigsoar,4.495,True,likely_available,False,audience_growth
gigtie,4.495,True,likely_available,False,audience_connection
indiebond,4.495,True,likely_available,False,audience_connection
indiebrave,4.495,True,likely_available,False,audience_growth
indieecho,4.495,True,likely_available,False,audience_connection
indieelev,4.495,True,likely_available,False,audience_growth
indieflour,4.495,True,likely_available,False,audience_growth
indiejoin,4.495,True,likely_available,False,audience_connection
indieknit,4.495,True,likely_available,False,audience_connection
indierapid,4.495,True,likely_available,False,audience_growth
indieseed,4.495,True,likely_available,False,audience_growth
indiesoar,4.495,True,likely_available,False,audience_growth
indieswift,4.495,True,likely_available,False,audience_growth
indietie,4.495,True,likely_available,False,audience_connection
indietrue,4.495,True,likely_available,False,audience_growth
indievivid,4.495,True,likely_available,False,audience_growth
indieweave,4.495,True,likely_available,False,audience_connection
liveanchor,4.495,True,likely_available,False,audience_growth
liveelev,4.495,True,likely_available,False,audience_growth
liveflour,4.495,True,likely_available,False,audience_growth
liveline,4.495,True,likely_available,False,audience_connection
livenova,4.495,True,likely_available,False,audience_growth
liveweb,4.495,True,likely_available,False,audience_connection
ownalign,4.495,True,likely_available,False,audience_connection
ownanchor,4.495,True,likely_available,False,audience_growth
ownapex,4.495,True,likely_available,False,audience_growth
ownbeacon,4.495,True,likely_available,False,audience_growth
ownblend,4.495,True,likely_available,False,audience_connection
owncataly,4.495,True,likely_available,False,audience_growth
ownelev,4.495,True,likely_available,False,audience_growth
ownflame,4.495,True,likely_available,False,audience_growth
ownflour,4.495,True,likely_available,False,audience_growth
owngather,4.495,True,likely_available,False,audience_connection
ownignite,4.495,True,likely_available,False,audience_growth
ownjoin,4.495,True,likely_available,False,audience_connection
ownmerge,4.495,True,likely_available,False,audience_connection
ownrapid,4.495,True,likely_available,False,audience_growth
ownring,4.495,True,likely_available,False,audience_connection
ownsoar,4.495,True,likely_available,False,audience_growth
ownsurge,4.495,True,likely_available,False,audience_growth
owntie,4.495,True,likely_available,False,audience_connection
ownunion,4.495,True,likely_available,False,audience_connection
ownvivid,4.495,True,likely_available,False,audience_growth
scenealign,4.495,True,likely_available,False,audience_connection
sceneapex,4.495,True,likely_available,False,audience_growth
scenebold,4.495,True,likely_available,False,audience_growth
scenebond,4.495,True,likely_available,False,audience_connection
scenebrave,4.495,True,likely_available,False,audience_growth
scenedrive,4.495,True,likely_available,False,audience_growth
sceneelev,4.495,True,likely_available,False,audience_growth
sceneflame,4.495,True,likely_available,False,audience_growth
sceneflour,4.495,True,likely_available,False,audience_growth
scenefree,4.495,True,likely_available,False,audience_growth
scenefresh,4.495,True,likely_available,False,audience_growth
scenefuel,4.495,True,likely_available,False,audience_growth
scenegrow,4.495,True,likely_available,False,audience_growth
scenejoin,4.495,True,likely_available,False,audience_connection
sceneknit,4.495,True,likely_available,False,audience_connection
scenemerge,4.495,True,likely_available,False,audience_connection
scenenova,4.495,True,likely_available,False,audience_growth
sceneprime,4.495,True,likely_available,False,audience_growth
scenepush,4.495,True,likely_available,False,audience_growth
scenerapid,4.495,True,likely_available,False,audience_growth
scenerelay,4.495,True,likely_available,False,audience_connection
scenering,4.495,True,likely_available,False,audience_connection
sceneroute,4.495,True,likely_available,False,audience_connection
scenesoar,4.495,True,likely_available,False,audience_growth
scenespot,4.495,True,likely_available,False,audience_connection
scenesync,4.495,True,likely_available,False,audience_connection
scenetie,4.495,True,likely_available,False,audience_connection
scenetrue,4.495,True,likely_available,False,audience_growth
sceneunion,4.495,True,likely_available,False,audience_connection
